provider,source,id,name,future_programmes,future_hours,desc_pct,sample_title,sample_desc,suspicious_clone,clone_group_size,url
epgshare,AE1,ar:.ستار.بلس.ae,ar: ستار بلس,152,84.0,100.0,أنوباما,‫م1 ، ح2145 : ‫تكتشف أنوباما الحقيقة من هاسموك وتعترف بخطئها. في هذه الأثناء، ينصح بريم فاسوندهارا بعدم إظهار الاحترام ويخطط للانتقام.‬.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,en:.Star.Plus.HD.ae,en: Star Plus HD,152,84.0,100.0,Anupamaa,"S1 , E2145 : Banku feels insecure after facing insults from Ishani's friends. Meanwhile, Leela scolds Anupama for neglecting her own health after Hasmukh reassures her.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
openepg,qatar5,0001 AWG CN Brand Logo 1color Black 4C.qa,0001 AWG CN Brand Logo 1color Black 4C.qa,149,40.2,0.0,Bluey - The Decider,,False,1,https://www.open-epg.com/files/qatar5.xml
openepg,saudiarabia5,Nick Jr HD.sa,Nick Jr HD.sa,143,40.3,100.0,Barbapapa - One Big Happy Family!,Barbapapa - One Big Happy Family!,False,1,https://www.open-epg.com/files/saudiarabia5.xml
epgshare,AE1,ar:.زي.تي.في.ae,ar: زي تي في,142,84.0,100.0,أزاد,‫‫في الهند خلال عشرينات القرن الماضي، تنشأ رابطة قوية بين صبي يعمل في الإسطبل وحصان جموح. في خضم التمرد والاستبداد، يتحول سعي الصبي لركوب هذا الحيوان المهيب إلى رحلة من الشجاعة تفتح عينيه على نضال بلاده من أجل الحرية.‬.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,en:.Zee.TV.HD.ae,en: Zee TV HD,142,84.0,100.0,Azaad,"A stable boy bonds with a spirited horse. As rebellion grows, his quest for freedom turns into a courageous fight against tyranny.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Al.Aoula.ae,Al Aoula,141,84.0,100.0,Nadi Al Marah,No Desription Available.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
openepg,saudiarabia2,Cartoonito.sa,Cartoonito.sa,140,27.4,100.0,Batwheels:Cave Sweet Cave,"The Batmobile aka Bam, Redbird or Red - Robin’s car, Bibi - Batgirl’s motorcycle, Buff a monster truck, Batwing, a supersonic jet and Bat Computer - the dispatcher, all come alive to protect Gotham city alongside it’s heroes.",False,1,https://www.open-epg.com/files/saudiarabia2.xml
epgshare,AE1,Al.Iraqiya.Turkuman.ae,Al Iraqiya Turkuman,139,84.4,100.0,Breakthrough,"How did the western United States become a hotspot for unwieldy and devastating forest fires? Learn how the history of forest management and loss of public trust, coupled with climate change, have led to the conditions driving mega-fire nearly year-round.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,China.Arab.TV.ae,China Arab TV,139,84.4,100.0,Breakthrough,"How did the western United States become a hotspot for unwieldy and devastating forest fires? Learn how the history of forest management and loss of public trust, coupled with climate change, have led to the conditions driving mega-fire nearly year-round.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
