provider,source,id,name,future_programmes,future_hours,desc_pct,url,reason
epgshare,AE1,en:.ARY.Digital.ae,en: ARY Digital,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Asharq.News.ae,en: Asharq News,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.AWSN+.ae,en: AWSN+,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Baynounah.TV.ae,en: Baynounah TV,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Ben.10.by.WBTV.ae,en: Ben 10 by WBTV,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.CGTN.ae,en: CGTN,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.CNBC.Arabiya.HD.ae,en: CNBC Arabiya HD,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.CNN.Headlines.ae,en: CNN Headlines,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Curiosity.Stream.ae,en: Curiosity Stream,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.DAZN.Combat.&.Fighting.ae,en: DAZN Combat & Fighting,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.EASL.(East.Asia.Super.League.2025-2026).ae,en: EASL (East Asia Super League 2025-2026),0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Emarat.FM.ae,en: Emarat FM,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Geo.TV.ae,en: Geo TV,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Golf.Life.ae,en: Golf Life,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
