canonical,winner_provider,winner_source,winner_id,winner_name,future_programmes,future_hours,desc_pct,rank_score,alternatives_count,alternatives,decision
series2 digital qa,openepg,qatar5,SERIES2 DIGITAL.qa,SERIES2 DIGITAL.qa,37,38.7,0.0,86.15,1,openepg:qatar4:SERIES2 DIGITAL.qa:84.1,WINNER_OF_DUPLICATES
2023 alkass 6 qa,openepg,qatar2,2023 Alkass 6.qa,2023 Alkass 6.qa,35,36.7,0.0,82.05,0,,UNIQUE
bein sports xtra 04 bein com qa,openepg,qatar2,beIN SPORTS XTRA 04 bein.com.qa,beIN SPORTS XTRA 04 bein.com.qa,35,36.7,0.0,82.05,0,,UNIQUE
beinsportsxtra3 qa,openepg,qatar2,beINSPORTSXTRA3.qa,beINSPORTSXTRA3.qa,35,36.7,0.0,82.05,1,openepg:qatar3:beINSPORTSXTRA3.qa:34.95,WINNER_OF_DUPLICATES
star movies 2024 200x200 1 qa,openepg,qatar5,Star Movies 2024-200x200-1.qa,Star Movies 2024-200x200-1.qa,31,38.7,0.0,81.95,1,openepg:qatar4:Star Movies 2024-200x200-1.qa:79.9,WINNER_OF_DUPLICATES
bein sports xtra 05 bein com qa,openepg,qatar2,beIN SPORTS XTRA 05 bein.com.qa,beIN SPORTS XTRA 05 bein.com.qa,34,36.7,0.0,81.34,0,,UNIQUE
bein sports xtra2 digital qa,openepg,qatar2,beIN SPORTS XTRA2 Digital.qa,beIN SPORTS XTRA2 Digital.qa,34,36.7,0.0,81.34,1,openepg:qatar3:beIN SPORTS XTRA2 Digital.qa:33.55,WINNER_OF_DUPLICATES
beinsports8 qa,openepg,qatar2,beINSPORTS8.qa,beINSPORTS8.qa,34,36.7,0.0,81.34,1,openepg:qatar3:beINSPORTS8.qa:69.81,WINNER_OF_DUPLICATES
bein sports xtra1 digital qa,openepg,qatar2,beIN SPORTS XTRA1 Digital.qa,beIN SPORTS XTRA1 Digital.qa,33,36.7,0.0,80.65,1,openepg:qatar3:beIN SPORTS XTRA1 Digital.qa:34.24,WINNER_OF_DUPLICATES
bein com 08 qa,openepg,qatar2,bein.com-08.qa,bein.com-08.qa,33,36.7,0.0,80.65,1,openepg:qatar3:bein.com-08.qa:33.55,WINNER_OF_DUPLICATES
2023 alkass 5 qa,openepg,qatar2,2023 Alkass 5.qa,2023 Alkass 5.qa,30,36.7,0.0,78.55,0,,UNIQUE
2023 alkass 8 qa,openepg,qatar2,2023 Alkass 8.qa,2023 Alkass 8.qa,30,36.7,0.0,78.55,0,,UNIQUE
bein sports boxoffice bein com qa,openepg,qatar5,beIN SPORTS-boxoffice-bein.com.qa,beIN SPORTS-boxoffice-bein.com.qa,24,39.4,0.0,77.99,1,openepg:qatar4:beIN SPORTS-boxoffice-bein.com.qa:75.0,WINNER_OF_DUPLICATES
movies4 family digital qa,openepg,qatar5,MOVIES4 FAMILY DIGITAL.qa,MOVIES4 FAMILY DIGITAL.qa,23,39.2,0.0,77.02,1,openepg:qatar4:MOVIES4 FAMILY DIGITAL.qa:74.3,WINNER_OF_DUPLICATES
movies1 premiere digital qa,openepg,qatar5,MOVIES1 PREMIERE DIGITAL.qa,MOVIES1 PREMIERE DIGITAL.qa,22,39.5,0.0,76.72,1,openepg:qatar4:MOVIES1 PREMIERE DIGITAL.qa:73.6,WINNER_OF_DUPLICATES
star action 2024 200x200 1 qa,openepg,qatar5,Star Action 2024-200x200-1.qa,Star Action 2024-200x200-1.qa,22,39.5,0.0,76.72,1,openepg:qatar4:Star Action 2024-200x200-1.qa:73.6,WINNER_OF_DUPLICATES
bein sports3 digital qa,openepg,qatar2,beIN SPORTS3 DIGITAL.qa,beIN SPORTS3 DIGITAL.qa,25,37.7,0.0,76.4,1,openepg:qatar3:beIN SPORTS3 DIGITAL.qa:25.3,WINNER_OF_DUPLICATES
bein sports7 digital qa,openepg,qatar2,beIN SPORTS7 DIGITAL.qa,beIN SPORTS7 DIGITAL.qa,25,37.2,0.0,75.72,1,openepg:qatar3:beIN SPORTS7 DIGITAL.qa:28.92,WINNER_OF_DUPLICATES
movies3 drama digital qa,openepg,qatar4,MOVIES3 DRAMA DIGITAL.qa,MOVIES3 DRAMA DIGITAL.qa,23,37.9,0.0,75.27,1,openepg:qatar5:MOVIES3 DRAMA DIGITAL.qa:75.27,WINNER_OF_DUPLICATES
bein sports2 french digital qa,openepg,qatar2,beIN SPORTS2 FRENCH Digital.qa,beIN SPORTS2 FRENCH Digital.qa,25,36.7,0.0,75.05,1,openepg:qatar3:beIN SPORTS2 FRENCH Digital.qa:30.04,WINNER_OF_DUPLICATES
beinsports9 qa,openepg,qatar2,beINSPORTS9.qa,beINSPORTS9.qa,25,36.4,0.0,74.64,1,openepg:qatar3:beINSPORTS9.qa:32.09,WINNER_OF_DUPLICATES
bein sports fta digital qa,openepg,qatar2,bein SPORTS FTA DIGITAL.qa,bein SPORTS FTA DIGITAL.qa,22,37.7,0.0,74.3,1,openepg:qatar3:bein SPORTS FTA DIGITAL.qa:29.07,WINNER_OF_DUPLICATES
boxoffice1 digital qa,openepg,qatar5,BoxOffice1 DIGITAL.qa,BoxOffice1 DIGITAL.qa,18,39.7,0.0,74.2,1,openepg:qatar4:BoxOffice1 DIGITAL.qa:70.8,WINNER_OF_DUPLICATES
boxoffice2 digital qa,openepg,qatar5,BoxOffice2 DIGITAL.qa,BoxOffice2 DIGITAL.qa,18,39.7,0.0,74.2,1,openepg:qatar4:BoxOffice2 DIGITAL.qa:70.8,WINNER_OF_DUPLICATES
digital qa,openepg,qatar2,4k DIGITAL.qa,4k DIGITAL.qa,21,37.9,0.0,73.86,1,openepg:qatar3:4k DIGITAL.qa:32.63,WINNER_OF_DUPLICATES
bein sports1 english digital qa,openepg,qatar2,beIN SPORTS1 ENGLISH Digital.qa,beIN SPORTS1 ENGLISH Digital.qa,22,37.2,0.0,73.62,1,openepg:qatar3:beIN SPORTS1 ENGLISH Digital.qa:32.09,WINNER_OF_DUPLICATES
bein sports1 digital qa,openepg,qatar2,beIN SPORTS1 DIGITAL.qa,beIN SPORTS1 DIGITAL.qa,21,37.5,0.0,73.33,1,openepg:qatar3:beIN SPORTS1 DIGITAL.qa:29.77,WINNER_OF_DUPLICATES
bein sports xtra 08 bein com ar,epgshare,BEIN1,beIN_SPORTS_XTRA_08_Bein.com_AR.bein,beIN_SPORTS_XTRA_08_Bein.com_AR,34,33.7,0.0,73.3,0,,UNIQUE
bein sports xtra 08 bein com en,epgshare,BEIN1,beIN_SPORTS_XTRA_08_Bein.com_EN.bein,beIN_SPORTS_XTRA_08_Bein.com_EN,34,33.7,0.0,73.3,0,,UNIQUE
bein sports xtra digital 09 bein com ar,epgshare,BEIN1,beIN_SPORTS_XTRA_Digital_09_Bein.com_AR.bein,beIN_SPORTS_XTRA_Digital_09_Bein.com_AR,34,33.7,0.0,73.3,0,,UNIQUE
