country,name,id,provider,source,future_programmes,future_hours,desc_pct,sample_title,sample_desc,title_source,desc_source,title_desc_policy,language_audit,alternatives,alternative_sources,merged_alternatives,url,integration_status
Palestine,Musawa / مساواة,official.palestine.musawa,official,pbc,0,0.0,0.0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://www.pbc.ps/musawa/,COMPARE_ONLY
MENA,Rotana Cinema KSA,official.rotana.cinema.ksa,official,rotana,66,126.7,0.0,لوكاندة المفاجآت,,official:rotana:official.rotana.cinema.ksa,,DISCOVERY_PROGRAMME_SAMPLE,PROGRAMME_SAMPLE_FOUND,0,,,https://www.rotana.net/tv/channels,COMPARE_ONLY
MENA,Rotana Cinema Egypt,official.rotana.cinema.egypt,official,rotana,66,127.7,0.0,سي عمر,,official:rotana:official.rotana.cinema.egypt,,DISCOVERY_PROGRAMME_SAMPLE,PROGRAMME_SAMPLE_FOUND,0,,,https://www.rotana.net/tv/channels,COMPARE_ONLY
MENA,Rotana Comedy,official.rotana.comedy,official,rotana,66,152.7,0.0,إسماعيل يس في الجيش,,official:rotana:official.rotana.comedy,,DISCOVERY_PROGRAMME_SAMPLE,PROGRAMME_SAMPLE_FOUND,0,,,https://www.rotana.net/tv/channels,COMPARE_ONLY
MENA,Rotana Classic,official.rotana.classic,official,rotana,92,131.2,0.0,الزعيم,,official:rotana:official.rotana.classic,,DISCOVERY_PROGRAMME_SAMPLE,PROGRAMME_SAMPLE_FOUND,0,,,https://www.rotana.net/tv/channels,COMPARE_ONLY
MENA,Rotana Drama,official.rotana.drama,official,rotana,129,129.7,0.0,الحلانجي,,official:rotana:official.rotana.drama,,DISCOVERY_PROGRAMME_SAMPLE,PROGRAMME_SAMPLE_FOUND,0,,,https://www.rotana.net/tv/channels,COMPARE_ONLY
MENA,Rotana Khalijia,official.rotana.khalijia,official,rotana,124,129.2,0.0,قبل وبعد,,official:rotana:official.rotana.khalijia,,DISCOVERY_PROGRAMME_SAMPLE,PROGRAMME_SAMPLE_FOUND,0,,,https://www.rotana.net/tv/channels,COMPARE_ONLY
MENA,LBC,official.rotana.lbc,official,rotana,109,154.7,0.0,عنتر ابن ابن ابن ابن شداد,,official:rotana:official.rotana.lbc,,DISCOVERY_PROGRAMME_SAMPLE,PROGRAMME_SAMPLE_FOUND,0,,,https://www.rotana.net/tv/channels,COMPARE_ONLY
MENA,Rotana Clip,official.rotana.clip,official,rotana,0,0.0,0.0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://www.rotana.net/tv/channels,COMPARE_ONLY
MENA,Rotana Music,official.rotana.music,official,rotana,0,0.0,0.0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://www.rotana.net/tv/channels,COMPARE_ONLY
MENA,Al Resalah,official.rotana.resalah,official,rotana,0,0.0,0.0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://www.rotana.net/tv/channels,COMPARE_ONLY
MENA,ART Aflam 1,official.art.aflam1,official,artonline,0,0.0,0.0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://www.artonline.tv/guide,COMPARE_ONLY
MENA,ART Aflam 2,official.art.aflam2,official,artonline,0,0.0,0.0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://www.artonline.tv/guide,COMPARE_ONLY
MENA,ART Hekayat,official.art.hekayat,official,artonline,0,0.0,0.0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://www.artonline.tv/guide,COMPARE_ONLY
MENA,ART Cinema,official.art.cinema,official,artonline,0,0.0,0.0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://www.artonline.tv/guide,COMPARE_ONLY
MENA,ART Hekayat 2,official.art.hekayat2,official,artonline,0,0.0,0.0,,,,,DISCOVERY_ONLY,NOT_VALIDATED_YET,0,,,https://www.artonline.tv/guide,COMPARE_ONLY
